1,Q1000,AC
2,Q1001,AD
3,Q1002,AE
4,Q1004,AW
5,Q1006,BU
6,Q1007,CD
7,Q1008,CJ
8,Q1011,DG
9,Q1012,DM
10,Q1013,EA
11,Q1014,EU
12,Q1015,EW
13,Q1017,KZ
14,Q1018,PF
15,Q1019,RB
16,Q1020,3
17,Q1021,4
18,Q1022,7
19,Q1023,10
20,Q1024,11
21,Q1025,12
22,Q1027,20
23,Q1028,21
24,Q1029,22
25,Q1030,24
26,Q1031,28
27,Q1032,29
28,Q1033,31
29,Q1034,35
30,Q1035,37
31,Q1037,40
32,Q1038,41
33,Q1039,46
34,Q1041,49
35,Q1042,51
36,Q1046,58
37,Q1048,62
38,Q1049,64
39,Q1050,65
40,Q1051,69
41,Q1052,70
42,Q1053,73
43,Q1054,74
44,Q1055,75
45,Q1056,76
46,Q1057,78
47,Q1058,80
48,Q1059,81
49,Q1060,83
50,Q1061,84
51,Q1062,85
52,Q1064,88
53,Q1065,90
54,Q1066,91
55,Q1067,92
56,Q1068,93
57,Q1069,97
58,Q1071,22
59,Q1074,102
60,Q1076,105
61,Q1077,106
62,Q1078,109
63,Q1080,112
64,Q1081,114
65,Q1082,115
66,Q1083,116
67,Q1084,117
68,Q1086,119
69,Q1088,122
70,Q1089,128
71,Q1090,129
72,Q1091,130
73,Q1092,131
74,Q1093,190
75,Q1094,472
76,Q1095,485
77,Q1096,94
